participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
118,1,0,9,1,6,0,,,,,-1,-1,-1,1,-1,,0,,,,-1,,,-1,,
2,,1,1,1,0,,1,,,,,,,,,,,,,,,,,,,
10,,0,6,3,2,,1,,1,,-1,,-1,0,1,,,,,,,,,,,
34,,0,5,2,0,,1,1,,,0,0,,,,,,0,,,,,,,,
42,1,0,10,4,2,,1,1,0,1,0,0,,,-1,0,,,,-1,1,,,,,
44,1,0,9,5,4,,1,,,,-1,,-1,1,,1,-1,-1,1,1,,,,,,
47,0,1,8,5,1,,-1,0,1,,,,0,1,1,,,1,,,,,,1,,
54,0,0,13,6,0,,0,1,0,0,0,,,0,1,,1,0,0,1,1,,,1,,
78,0,0,15,6,1,,0,,0,0,1,0,0,,1,0,1,-1,1,,1,0,1,0,,
88,0,0,14,12,1,,-1,1,1,1,,0,,1,1,1,,1,1,,1,1,1,1,,
92,1,0,15,4,2,,1,0,1,,0,0,0,1,-1,0,0,0,1,0,-1,,0,,,
110,0,0,15,8,2,,1,-1,,1,0,0,0,1,1,0,-1,,1,,1,1,1,0,,
113,,0,4,1,0,,0,,,,,,,,,,,,1,0,,0,,,,
3,,1,1,1,0,,,1,,,,,,,,,,,,,,,,,,
13,,0,2,0,0,,,0,,,,,0,,,,,,,,,,,,,
45,,0,3,1,2,,,1,,,,-1,-1,,,,,,,,,,,,,
51,,0,3,0,0,,,0,,,,,0,,,,,,0,,,,,,,
53,,0,2,0,0,,,0,,,,,0,,,,,,,,,,,,,
63,0,0,12,6,0,,,1,,1,,,0,1,0,0,,,1,0,1,1,0,0,,
83,,0,3,0,0,,,0,,,,0,,,,,,,,,,0,,,,
84,,0,5,2,2,,,-1,,,,,,,1,,1,,,0,-1,,,,,
93,0,0,7,5,1,,,1,1,1,,-1,1,,0,,,,,,1,,,,,
94,,0,1,1,0,,,1,,,,,,,,,,,,,,,,,,
95,0,0,9,7,0,,,1,,1,,,,1,0,,0,1,,,1,,1,1,,
103,,0,2,0,0,,,0,,,,,,,,,,,,,,,,0,,
4,,1,1,1,0,,,,1,,,,,,,,,,,,,,,,,
19,,0,2,0,0,,,,0,,,,0,,,,,,,,,,,,,
72,,0,1,0,0,,,,0,,,,,,,,,,,,,,,,,
114,,0,5,0,0,,,,0,,0,,,,0,,,0,,,0,,,,,
5,,1,1,1,0,,,,,1,,,,,,,,,,,,,,,,
12,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,
15,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,
46,,2,4,4,0,,,,,1,,,,,,,1,,,,,1,1,,,
65,,0,2,2,0,,,,,1,,,,,,,,1,,,,,,,,
86,,0,4,1,1,,,,,1,,,-1,,,,,,0,0,,,,,,
17,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,
28,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,
77,,0,5,2,0,,,,,,0,,0,,1,,,,0,1,,,,,,
22,,0,1,0,0,,,,,,,0,,,,,,,,,,,,,,
31,,0,1,0,0,,,,,,,0,,,,,,,,,,,,,,
39,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,
70,,0,2,1,0,,,,,,,0,,,,,1,,,,,,,,,
80,,0,3,2,0,,,,,,,0,,,,1,,,,,,1,,,,
50,,0,3,1,2,,,,,,,,-1,1,,,,,,,,,,-1,,
68,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,
81,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,
87,,0,2,2,0,,,,,,,,1,,,,,1,,,,,,,,
89,,0,3,3,0,,,,,,,,1,1,,,1,,,,,,,,,
66,,0,2,1,1,,,,,,,,,-1,,,,,,,,,,1,,
75,,0,2,1,1,,,,,,,,,1,,,,,,,,,,-1,,
107,,0,2,2,0,,,,,,,,,1,,,1,,,,,,,,,
108,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,
33,,1,3,2,1,,,,,,,,,,1,,,,-1,1,,,,,,
18,,1,1,1,0,,,,,,,,,,,1,,,,,,,,,,
59,,0,4,3,0,,,,,,,,,,,1,,,,0,1,,,1,,
67,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,
91,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,
116,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,
24,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,
25,,0,1,0,1,,,,,,,,,,,,-1,,,,,,,,,
60,,0,1,0,0,,,,,,,,,,,,0,,,,,,,,,
90,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,
98,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,
69,,0,1,0,0,,,,,,,,,,,,,,0,,,,,,,
117,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,
57,,0,1,1,0,,,,,,,,,,,,,,,1,,,,,,
71,,0,1,0,0,,,,,,,,,,,,,,,0,,,,,,
37,,1,1,1,0,,,,,,,,,,,,,,,,1,,,,,
74,,0,1,1,0,,,,,,,,,,,,,,,,1,,,,,
101,,0,2,1,1,,,,,,,,,,,,,,,,1,,,-1,,
105,,0,1,0,0,,,,,,,,,,,,,,,,0,,,,,
109,,0,1,1,0,,,,,,,,,,,,,,,,1,,,,,
