participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
114,,0,24,15,6,-1,-1,,1,1,1,0,1,1,,-1,,1,0,1,1,,1,,,1,1,1,1,1,1,,-1,-1,,0,-1,,,,,,,,,,,,,,,,
116,,0,32,27,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,,,,,,,,,,,,,,,,
117,,0,33,29,4,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,,,,,,,,,,,,,,,
118,,0,16,11,5,1,,,,1,,,,,1,1,,,,1,-1,1,,,1,,,-1,1,1,,-1,1,-1,,1,-1,,,,,,,,,,,,,,,,
119,,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
126,,0,31,1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,
130,,1,21,5,0,0,0,0,,0,1,0,1,1,0,0,,,1,0,0,,,,0,,0,,,,0,0,0,,0,,0,,,1,,,,,,,,,,,,,
134,,0,23,19,2,1,1,1,1,0,,1,1,1,1,1,,1,-1,1,1,,,,,1,1,,1,,1,,,,0,,-1,1,1,1,,,,,,,,,,,,,
135,,0,19,11,3,-1,,1,1,,,,1,,,1,1,0,-1,1,0,,1,,,,0,,1,,1,,-1,0,,,,1,1,0,,,,,,,,,,,,,
138,,0,35,24,4,1,1,-1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-1,-1,-1,1,1,0,1,1,,,,,,,,,,,,,
139,,0,35,26,1,-1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,,,,,,,,,,,,,
140,,0,2,0,1,-1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,1,48,38,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,0,1,1,1
142,,1,37,12,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,,,,,,,,,,,
147,,1,38,33,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,
148,,0,20,11,8,-1,,,,,1,-1,,,,,,1,-1,1,,1,,,-1,1,,,1,1,1,-1,-1,0,,,-1,1,1,1,,-1,,,,,,,,,,,
152,,0,36,22,0,0,0,0,,1,1,1,1,,1,,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,,,,,,,,,
153,,0,38,37,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
165,,0,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,-1,,,,
168,,0,33,22,4,0,,,0,,1,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,-1,0,,-1,0,0,0,1,1,-1,1,1,,,,1,0,-1,1,,
170,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,0,34,17,13,1,1,-1,,-1,-1,,,1,-1,-1,-1,1,,,1,1,,1,,1,1,1,,0,0,1,-1,-1,1,-1,-1,-1,1,,1,,1,,0,1,,0,1,-1,-1,,
187,,0,28,22,2,1,1,,,,1,1,,1,1,0,1,,1,1,1,1,,,1,1,1,-1,1,1,1,0,,0,-1,1,,,1,,1,,,,1,,,0,,,1,,
189,,0,36,32,4,-1,-1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,,1,,,-1,1,1,1,1,1,,,1,,1,1,1,1,,
191,,0,46,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,
193,,0,12,10,0,1,,,,,,,,1,,,1,1,0,1,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,,,,
195,,1,13,9,3,-1,-1,1,,,1,,,,,0,,,,,1,1,,,,1,,,,,,,,,,1,,-1,,,,,,1,,,,1,,,,1,
22,,0,2,2,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,0,9,7,0,,0,0,,,,,1,,,,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,0,16,14,1,,1,-1,1,,1,0,1,1,1,,1,1,,,1,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
68,,0,15,12,1,,-1,,1,1,,0,,1,,1,1,1,,1,,,1,1,1,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,
75,,0,11,11,0,,1,,1,1,1,,,1,,1,,,,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
82,,0,11,11,0,,1,1,,,,,,1,,,1,1,,1,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
92,,0,11,8,3,,-1,,1,-1,,-1,1,,1,,1,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
98,,0,21,20,1,,1,-1,1,,1,,1,1,1,1,1,1,,1,1,1,1,,1,,1,,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,
109,,0,6,0,0,,0,,,,,,,,,0,,,,,,,,,,,,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,
121,,1,25,22,2,,1,1,1,,-1,1,1,1,1,1,1,1,-1,,1,,1,1,1,1,,1,1,,1,,1,,1,1,0,,1,,,,,,,,,,,,,,
124,,0,14,11,2,,-1,-1,1,,,0,,,,,1,1,1,1,,,,1,,,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,
128,,0,13,2,0,,0,0,1,,0,,,,0,,0,,,0,0,1,,,,,,,,,,,0,0,,0,,,0,,,,,,,,,,,,,,
143,,0,11,8,0,,0,,1,,,,1,,,1,,1,,1,1,0,,,,,0,1,,,,,,,,,,,1,,,,,,,,,,,,,,
151,,0,16,8,6,,1,1,1,,,,,1,,,,,,1,1,0,,-1,,,-1,,0,,,-1,,-1,-1,,,-1,1,1,,,,,,,,,,,,,
178,,0,16,4,2,,0,,,0,,,,,,,,,,1,0,,1,,,1,,,0,0,,,,0,,0,0,0,1,,,-1,,,-1,,,,,,0,,
183,,0,15,13,0,,0,0,,1,1,,1,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,1,,,,1,1,,,,,1,1,,,,
185,,0,8,6,1,,0,,1,,,,,,,,,,1,,1,,,,1,-1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
194,,0,20,9,0,,0,0,,,,0,1,,,1,1,1,1,,0,0,,,0,,,1,0,0,,1,,,,,,0,,,,0,,,1,0,,,,1,,,
199,,0,30,23,1,,1,1,1,0,,1,1,1,,0,,,1,1,,,1,1,1,,,1,1,1,1,,1,0,1,0,0,,1,1,1,0,-1,,1,,,,1,,,1,
57,,0,14,8,2,,,0,,1,,0,1,1,1,0,-1,,-1,,,,1,,1,,,1,0,,,1,,,,,,,,,,,,,,,,,,,,,
69,,0,8,7,1,,,-1,,,,,1,,1,,,1,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
72,,0,13,10,2,,,0,,-1,,1,1,1,,1,,1,1,,,1,,,,,1,,1,-1,1,,,,,,,,,,,,,,,,,,,,,,
90,,0,18,14,0,,,0,1,,,0,1,1,,1,1,,1,1,1,1,1,,1,1,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,
101,,0,10,8,0,,,0,1,,,,,,,,1,1,,,1,,,,,,,1,1,,0,,,,1,1,,,,,,,,,,,,,,,,,
112,,0,5,4,0,,,0,1,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
122,,0,13,6,2,,,0,,0,,,,,1,0,,,1,,,0,,,1,1,,,,0,,,,-1,,,-1,1,1,,,,,,,,,,,,,,
155,,0,20,13,1,,,0,,1,,1,,,0,1,1,1,1,1,,,,,,0,1,1,,,0,1,-1,0,,1,0,,1,,,,1,,,,,,,,,,
159,,0,20,8,5,,,-1,1,0,,,,1,,0,1,,,1,1,,,,,0,-1,1,1,,,0,,1,-1,0,,,0,,-1,,,0,-1,,,,,,,,
161,,0,6,5,1,,,-1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,
172,,0,25,6,0,,,0,1,,,0,0,1,0,0,,0,,0,,,0,1,0,,,0,,0,1,,0,0,0,,,0,,0,0,,1,0,,,1,,,0,,,
179,,0,7,0,1,,,0,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,0,,,,,,,,,-1,,0,,
181,,0,15,11,0,,,0,1,,,0,1,,,,,1,1,,,1,1,,,1,1,,,,,0,,,,,,,1,1,,,,,,,,,1,0,,,
182,,0,12,9,1,,,0,,1,,,1,,,,,,,1,1,1,,1,1,,1,,,,,,-1,,,,,,,,,,,0,,1,,,,,,,
188,,0,13,13,0,,,1,,1,,,1,,,1,1,,,,1,,1,,1,,,,,,,,,,1,,,1,,1,,,,,,,1,,,1,,,
192,,0,10,1,0,,,0,,,,,,,,,,,0,0,,,1,,,,,,0,0,,,,,0,,0,,,,,0,,,0,,,,,,,,
24,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,0,9,6,2,,,,1,,,,,,,0,1,,1,,,,,,,,,1,,,1,,-1,1,-1,,,,,,,,,,,,,,,,,,
103,,0,4,3,1,,,,1,1,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,0,10,6,1,,,,1,,,0,,1,,,,,,1,,0,,,1,0,,1,,,,,,,-1,,,1,,,,,,,,,,,,,,,
123,,0,2,0,0,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,0,12,12,0,,,,1,,1,,,1,1,,1,1,,,,1,1,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
149,,0,6,5,0,,,,1,1,,1,,,,,,1,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,
156,,0,8,8,0,,,,1,,1,1,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,
160,,0,14,8,1,,,,0,,1,0,1,,,,,,0,1,1,,1,1,-1,,,,,,0,,,,,,0,1,1,,,,,,,,,,,,,,
167,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,0,23,14,1,,,,1,,1,0,1,,1,,1,1,0,,,1,,,,0,0,1,1,,,0,-1,,,,0,1,1,,,1,,1,,0,0,,,,1,,
11,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,0,14,13,0,,,,,1,,0,,1,1,1,1,1,,,1,,1,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
144,,0,16,10,3,,,,,0,,,,1,,1,,1,,,1,,1,1,,,,0,1,,,,-1,,,0,-1,,1,1,1,-1,,,,,,,,,,,
145,,0,3,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,1,,,,,,,,,,,,
164,,0,6,3,0,,,,,1,0,,,,,,0,,,,,,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
169,,0,5,2,0,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,0,,,,0,,1,,,,,,,,,,,,,,
74,,0,5,5,0,,,,,,1,,,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,0,13,5,0,,,,,,0,,,1,,1,0,1,,,0,1,0,,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
86,,0,1,0,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,0,2,0,0,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0,11,9,0,,,,,,1,1,,,1,,,1,,,1,,1,1,1,,,,,,,1,0,,,0,,,,,,,,,,,,,,,,,
146,,0,4,4,0,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,0,8,6,1,,,,,,1,,,1,,,0,,1,,,,,,,,,,,,,1,,-1,1,,,,1,,,,,,,,,,,,,,
166,,0,4,4,0,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
198,,0,6,5,0,,,,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,,0,,,1,,,,,,,,,,,,,,,
136,,0,3,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,
173,,0,8,7,0,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,0,,,,,,,1,1,,1,1,,,,,,,,,
15,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,1,13,9,4,,,,,,,,,1,-1,1,,,,1,,,,1,,,,,,,,-1,-1,1,,,,,,,1,,1,1,,,,,,-1,,,1
53,,0,5,2,1,,,,,,,,,,0,,1,,,,,,,,0,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
56,,0,1,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,0,1,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,0,1,0,1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,0,2,1,1,,,,,,,,,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
180,,0,2,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
