participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
135,,0,2,1,0,,,,,,,0,1,,,,,,,,,,,
2,,1,1,1,0,,,,,,,,1,,,,,,,,,,,
15,,0,1,0,0,,,,,,,,0,,,,,,,,,,,
18,,0,1,1,0,,,,,,,,1,,,,,,,,,,,
81,,0,5,1,0,,,,,,,,0,0,0,1,0,,,,,,,
96,,0,1,0,1,,,,,,,,-1,,,,,,,,,,,
3,,1,1,1,0,,,,,,,,,1,,,,,,,,,,
57,,0,1,0,1,,,,,,,,,-1,,,,,,,,,,
102,,0,1,0,0,,,,,,,,,0,,,,,,,,,,
4,,1,1,1,0,,,,,,,,,,1,,,,,,,,,
65,,0,1,1,0,,,,,,,,,,,1,,,,,,,,
141,,0,1,1,0,,,,,,,,,,,1,,,,,,,,
116,,0,1,0,0,,,,,,,,,,,,,0,,,,,,
127,,0,1,0,0,,,,,,,,,,,,,0,,,,,,
128,,0,1,0,0,,,,,,,,,,,,,0,,,,,,
91,,0,1,1,0,,,,,,,,,,,,,,1,,,,,
131,,0,1,1,0,,,,,,,,,,,,,,,1,,,,
118,,0,1,1,0,,,,,,,,,,,,,,,,1,,,
138,,0,1,1,0,,,,,,,,,,,,,,,,,1,,
139,,0,1,0,0,,,,,,,,,,,,,,,,,0,,
