participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
162,,0,11,2,4,,,,,0,,,1,,1,,,0,,,,,,,,0,0,,,,,,,,,,-1,-1,,,,0,-1,-1,,,,,,,
235,,0,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,0,2,2,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
124,,0,8,5,1,,,,,,1,,1,,,,,,,1,,,0,,1,,,,,,,,1,,,0,,-1,,,,,,,,,,,,,
126,,0,14,10,3,,,,,,1,,,-1,1,1,1,,,,,1,1,1,,,-1,,,,1,1,,0,,-1,1,,,,,,,,,,,,,,
133,,0,7,2,5,,,,,,1,-1,,,,,1,,,-1,,,,,,,,,,,,,,,-1,,,,,,,-1,-1,,,,,,,,
141,,0,14,7,4,,,,,,1,,,,,0,,0,1,,,1,,,,,-1,1,,1,1,,,,,,1,0,,,,,-1,-1,-1,,,,,,
147,,0,17,16,0,,,,,,1,,1,1,,1,,,1,1,1,,1,1,,1,,1,,,,1,1,0,1,1,,,,1,,,,,,,,,,,
173,,0,3,3,0,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
182,,0,3,2,0,,,,,,1,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,0,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,0,16,9,6,,,,,,1,-1,,,,,,,,1,1,,,1,1,,,,-1,,,1,1,,,,1,0,,,-1,-1,-1,-1,,1,,,,,
232,,0,9,4,3,,,,,,1,,1,,,,,,,,,,,1,,,,,0,,,,,,,,,,0,,-1,-1,,,-1,1,,,,,
12,,0,1,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,0,2,1,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,0,15,7,6,,,,,,,-1,,,1,,,,1,,-1,,1,1,1,,-1,,1,,0,0,,,1,,,,,,,-1,-1,,-1,,,,,,
193,,0,10,4,2,,,,,,,-1,,0,,,1,,1,0,0,,,,0,1,-1,,,,,,,,,,,1,,,,,,,,,,,,,
206,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,0,15,8,4,,,,,,,,1,-1,,0,,,,1,-1,,,1,1,,,1,1,,0,,,,,-1,1,,,1,,0,,,-1,,,,,,
197,,0,13,8,2,,,,,,,,1,,1,,,0,,,0,,,,1,1,0,1,1,,,,1,,1,,,,,,-1,-1,,,,,,,,,
50,,0,3,1,2,,,,,,,,,-1,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
66,,0,2,1,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
127,,0,3,0,3,,,,,,,,,-1,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,
21,,0,2,2,0,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,0,5,2,1,,,,,,,,,,0,,,,,,,0,,,1,,,1,,,,,,,,,,,,,-1,,,,,,,,,,
23,,0,6,0,0,,,,,,,,,,,0,,0,,0,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
51,,0,3,2,0,,,,,,,,,,,1,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
130,,0,4,2,2,,,,,,,,,,,1,,,,,,,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,
191,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,0,11,7,2,,,,,,,,,,,,1,,,,1,,,1,,0,-1,,,1,,-1,1,1,,,1,,,,,0,,,,,,,,,
154,,0,4,2,1,,,,,,,,,,,,1,,,,,,,0,,,,,,,1,,,,,,,,,,,,,-1,,,,,,,
224,,0,2,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,
9,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,0,2,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
92,,0,1,0,1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,0,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,0,9,2,3,,,,,,,,,,,,,,,,-1,,,0,0,,,1,,,,,,0,1,,,,,,-1,0,,,-1,,,,,,
184,,0,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,0,1,1,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,0,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,0,3,2,1,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,1,,,,,,,,,,,,,,,,,,
32,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
87,,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,
199,,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,0,,1,,,,,,,,,,,
185,,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,-1,,,,,,,,,,
174,,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,-1,,,,,,
143,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
148,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
192,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
136,,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,
189,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
145,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
233,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
77,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
216,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,
152,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
159,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
160,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
195,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
229,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
135,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
150,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
167,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
225,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
242,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
219,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,
207,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
