participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
33,,0,19,10,2,0,0,0,1,,1,-1,1,,,-1,1,1,,,1,0,0,1,,1,,0,0,1,1,,,,,,,,,,,,,,,,,,,,
34,,0,26,19,6,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
36,,0,17,9,5,-1,-1,-1,,1,1,,1,-1,0,1,1,,1,,,,0,,,0,-1,1,,1,1,,,,,,,,,,,,,,,,,,,,
37,,0,26,11,9,-1,1,-1,1,-1,1,-1,1,-1,0,1,1,1,0,-1,0,1,0,-1,0,0,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,
38,,0,10,0,0,0,0,,,,,,0,0,,,,,,,,0,,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,
39,,0,11,6,1,1,,1,,,,1,,,,0,,1,1,,0,-1,,,,,0,1,,,0,,,,,,,,,,,,,,,,,,,,
40,,0,26,14,5,0,0,0,1,1,0,-1,1,-1,1,0,1,0,1,0,1,1,-1,1,1,1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,
41,,0,26,18,6,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,0,1,1,1,1,0,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,
42,,0,26,23,3,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
43,,0,16,8,8,-1,-1,-1,,1,1,-1,,-1,,,1,-1,-1,,1,1,,,,1,-1,1,,,1,,,,,,,,,,,,,,,,,,,,
44,,0,5,2,3,-1,-1,,,,,-1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
45,,0,26,16,7,-1,-1,-1,1,1,1,-1,0,-1,0,1,1,1,1,1,-1,1,0,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
49,,0,14,9,2,0,-1,,,0,1,,,,1,1,,,,,1,1,,0,1,1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,
53,,0,26,20,5,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
55,,0,15,8,1,1,-1,0,,0,0,,,0,1,1,1,0,,,1,,,1,1,,,1,,0,,,,,,,,,,,,,,,,,,,,,
56,,0,26,18,5,0,0,1,1,1,1,-1,1,-1,1,-1,1,0,1,1,1,1,-1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
58,,4,31,19,6,-1,-1,-1,1,0,0,1,1,-1,1,1,1,1,0,0,1,1,1,1,1,0,-1,1,1,0,-1,1,1,1,1,1,,,,,,,,,,,,,,,
59,,0,30,21,8,-1,-1,-1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,,,,,,,,,,,,,,,,
60,,0,30,27,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,
61,,0,6,2,1,-1,,,,,0,,0,,,,1,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,
62,,0,30,22,7,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,
64,,0,13,12,1,1,,,,,1,1,,,,,1,1,1,1,,,,,1,,,1,1,1,,1,,,-1,,,,,,,,,,,,,,,,
68,,0,30,8,22,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,,,,,,,,,,,,,,,,
69,,0,13,8,3,1,0,,1,,,,1,,,,,,,0,,,-1,,1,1,-1,1,,,-1,,1,1,,,,,,,,,,,,,,,,,
72,,0,30,24,5,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,0,1,1,1,-1,1,1,1,1,-1,1,1,1,,,,,,,,,,,,,,,,
73,,0,13,3,0,0,0,0,0,,,,,,,,,0,0,,0,,,,,0,,1,0,,0,,,1,1,,,,,,,,,,,,,,,,
74,,0,13,8,1,0,,,,0,0,-1,1,,,1,,1,,,1,,,,1,0,,1,,,,,1,1,,,,,,,,,,,,,,,,,
75,,0,30,26,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
76,,0,22,14,8,-1,-1,-1,1,-1,1,,1,1,1,1,1,1,1,-1,,,,,1,,-1,1,,1,-1,-1,1,1,,,,,,,,,,,,,,,,,
78,,0,31,21,9,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,,,,,,,,,,,,,,,
79,,0,11,7,3,1,,0,,1,,,,,,,1,,,,,,-1,,,1,-1,1,,1,,-1,1,,,,,,,,,,,,,,,,,,
81,,0,31,20,7,-1,-1,-1,1,1,1,-1,1,0,1,1,1,1,1,0,-1,1,0,0,1,1,-1,1,1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,
86,,0,10,4,2,0,0,,,0,,,1,-1,1,,,,,,,,,,,,,1,,,,,1,,0,-1,,,,,,,,,,,,,,,
88,,0,17,10,5,1,-1,-1,,1,,1,,-1,1,1,1,,1,,,1,0,,,,-1,,,,,-1,1,1,,,,,0,,,,,,,,,,,,
89,,0,5,2,2,-1,,,,,,,,,,1,,,,,,,-1,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,
90,,0,19,9,7,1,-1,-1,1,-1,0,,1,,,,,1,-1,0,1,1,,0,,,-1,,,1,,-1,1,,1,-1,,,,,,,,,,,,,,,
95,,0,12,10,1,1,,,1,,,,1,-1,1,,1,,,,,,,,,1,,1,,1,,1,,0,1,,,,,,,,,,,,,,,,
98,,0,12,4,5,-1,,,,-1,-1,,,,1,,1,,,0,,0,,,,0,-1,1,,,-1,,,1,,,,,,,,,,,,,,,,,
99,,0,28,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,1,0,1,0,,,,,,,,,,,,,,,
