participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
86,,0,16,13,1,-1,,,1,1,,1,1,,,,,1,,,,,1,,,1,,1,,,,1,,,1,1,,,,1,1,0,,,0,,
87,,0,41,35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,
91,,0,32,8,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,1,,1,,,1,0,0,,0,,0,0,,0,0,1,1,1,0,1,0,,
100,,0,38,5,2,0,0,0,,1,0,0,0,0,0,0,1,0,-1,0,0,0,1,,0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,,0
101,,0,42,37,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
102,,0,15,10,5,1,-1,,,,,,1,,,1,,,,-1,,,,1,,1,1,,,-1,,-1,,,,,1,,1,1,,1,,-1,,,
104,,0,6,4,1,1,,-1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,0
107,,0,23,11,1,1,,-1,0,,1,1,1,,0,0,0,,1,,0,0,,,0,,1,,1,1,,0,,1,,,,,0,,0,,,1,0,1,
109,,0,42,33,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
111,,0,20,15,0,1,0,,,,,1,,0,,0,,,,1,,1,1,,1,,,1,,,,,0,0,,1,1,1,1,1,,1,,,1,1,
115,,0,32,22,0,0,0,1,1,0,1,1,1,,1,1,1,0,1,,0,,1,,1,1,1,,1,1,1,0,,0,0,1,,1,,1,1,1,0,1,,,0
117,,0,9,7,0,0,,,,,,,1,,,,,,1,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,0,,1
119,,0,9,5,0,0,,1,,,1,,,1,,,,,,,,,,,,1,,,0,,,,,,,,,,,,0,,,,,0,1
120,,0,29,10,0,0,,0,,1,1,1,0,1,,0,,0,,0,0,0,0,1,0,1,0,1,0,,0,0,0,1,,1,1,0,,0,,,0,,,0,
123,,0,42,34,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
130,,0,20,14,3,1,0,-1,,,,,,1,1,,1,1,,,,-1,1,-1,0,,,,,1,1,,0,1,,1,,1,,,1,,,,1,1,
139,,0,15,10,2,0,,,,1,-1,,-1,,1,,1,,,0,,,,,,,,1,1,1,,0,,1,,1,,1,,,,,1,,,,
140,,0,22,16,0,0,,0,,,,1,,1,1,1,1,1,,,,,,1,,,0,1,1,,1,0,0,1,,1,,1,1,,1,,,0,,,1
26,,0,13,7,1,,0,,,-1,1,1,1,1,1,0,0,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
