participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
96,0,1,31,17,9,1,0,0,1,1,1,-1,-1,-1,-1,-1,1,0,-1,0,,-1,1,,1,-1,1,1,1,1,1,,1,,1,,0,,-1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
99,1,0,11,5,6,-1,-1,-1,-1,-1,,,,1,,1,1,,1,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,8,64,37,15,0,0,0,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,0,1,1,0,1,1,1,0,-1,1,-1,1,1,0,1,0,-1
102,0,0,21,11,9,1,-1,0,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,0,21,11,5,1,0,1,1,1,1,0,-1,0,0,0,1,1,-1,1,-1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,1,32,23,7,0,0,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,0,20,9,8,0,0,0,,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,0,17,4,9,0,0,0,-1,,1,-1,,0,-1,-1,-1,,-1,,-1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,8,23,15,8,1,1,,1,1,1,-1,-1,,,-1,-1,1,,-1,-1,-1,,,1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0,0,16,8,6,0,-1,,1,,,-1,,,,-1,,1,,-1,0,-1,,1,1,-1,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,0,29,16,13,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
