participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
163,0,1,66,46,8,0,-1,-1,-1,0,1,1,0,1,-1,0,0,0,0,1,1,0,1,0,-1,1,,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
164,0,0,28,16,10,1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,,1,1,1,-1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1,0,14,11,0,1,,,0,0,,1,1,1,0,,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0,0,8,0,0,0,,0,,0,,,0,0,0,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0,3,53,12,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0,0,28,12,4,-1,0,0,0,1,1,0,-1,-1,0,0,0,0,0,0,1,0,-1,1,0,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0,0,30,11,6,0,-1,0,-1,0,0,1,0,1,0,,1,-1,,-1,1,0,1,0,,1,,0,0,,-1,1,1,0,0,1,1,-1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0,0,37,20,5,0,0,0,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,-1,0,1,1,,1,1,1,-1,1,0,1,1,1,0,1,1,1,0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0,0,13,8,4,1,0,,,,,-1,1,,,,,,,-1,1,-1,,1,,,,1,,,-1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0,0,11,4,2,0,,0,,-1,,,0,,,,,,,,,,,,,,,1,1,1,,1,,,-1,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0,0,29,10,2,0,,,0,0,0,0,0,,0,,,,0,,1,1,0,0,1,0,,1,1,1,0,1,1,0,-1,1,0,,,0,0,-1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0,0,36,23,7,-1,0,0,0,-1,0,1,1,1,0,1,1,1,-1,,1,1,-1,1,1,1,,1,,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0,0,37,23,3,1,1,0,0,1,0,1,0,0,1,,-1,1,-1,1,1,1,1,1,1,1,,1,1,1,0,0,1,1,1,0,0,1,0,1,1,-1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0,0,16,15,1,1,,,,,,1,,,,1,,1,1,,1,,1,-1,,1,,,,,,1,1,,,,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
