participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
154,,3,79,55,9,1,1,1,1,-1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,0,-1,1,1,0,0,-1,0,1,1,1,1,1,1,0,1,0,1,0,1,-1,-1,-1,-1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,,,,,,,,,
156,,0,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,5,21,16,1,1,-1,,1,,,,,,1,1,,1,,,,0,,,,,,,,,,,,0,,,,,0,1,,,,,,1,,1,,1,,,,1,,,1,,,,0,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,1,17,14,0,1,,,,,1,,,,,1,,,,,,0,1,1,1,,,,,1,,0,,,1,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,
173,,1,38,28,5,-1,1,,1,1,,1,0,,1,,,,,,1,1,1,1,1,,1,,1,,1,,,,1,,1,,,1,,1,,,0,,1,,,0,1,1,,1,1,,,,1,1,,,-1,-1,-1,1,-1,0,1,,0,,1,1,,,,,,,,,,,,,,,,,,,
176,,7,23,17,2,0,,,1,,,0,,,,,,,,,0,,1,,,-1,,,,,1,1,1,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,1,,,,,,,-1,,,,,,,0,,,,1,,1,1,,,1,1,,1,1,,,,,,
178,,0,13,8,2,0,,0,,,,,,,,,,,,0,,,,,,1,,,,1,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,-1,,1,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,0,19,17,0,0,1,1,,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,,0,,1,,,1,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,
190,,0,30,20,3,1,0,1,1,,,,1,0,,,,,,,-1,1,,,,0,,,1,,,,,1,,,,1,,,,,,1,,,,,1,,,,,0,,1,,,,,1,1,,-1,-1,,,,0,,,0,,1,,1,1,,1,1,,,1,0,1,,,,,,,,
193,,0,22,14,0,1,,0,,,,,,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,0,,,,1,0,,,,,0,,,,1,,0,1,1,,,,,,,,,0,,1,,,,,,0,,,0,,,,,1,,,1,1,,,,,,
199,,0,13,5,7,1,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-1,,,,-1,-1,,,,,,1,,,1,-1,,,,-1,,,,,,,,,,,
202,,0,38,16,13,0,,1,,,-1,,,,,1,,,1,0,,,,1,,,,,1,0,-1,,,,,,,,1,,-1,,1,-1,-1,,1,,0,,,,1,,-1,1,,,1,1,,,-1,-1,-1,1,-1,,,0,,0,,,1,,-1,0,,,,0,-1,1,,,1,-1,,,0,,
211,,0,11,7,1,0,,,,0,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,-1,0,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
213,,0,11,0,0,0,,0,,0,,,,,,0,,0,,0,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,
222,,0,23,4,1,0,,0,,,,,,,,1,,1,0,,,,,,,1,,,,0,,0,,,,,,,0,,,,,0,,,,,,,,0,,,,,,0,,,,,,,-1,,,,,0,0,0,,,,0,0,0,0,,1,0,0,,,,,,,,,,
225,,0,6,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,
9,,0,9,5,0,,1,0,,,1,,,0,,0,,,0,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0,5,3,0,,0,0,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0,12,9,0,,1,,1,0,1,1,1,0,,,,1,,1,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0,15,11,2,,-1,-1,1,1,,1,,1,,0,1,1,,0,,,,1,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0,10,6,0,,0,,,,,1,0,,,0,,,,1,,1,,1,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,0,16,12,0,,1,0,1,1,1,1,1,,,0,,,1,1,0,0,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,0,20,13,5,,1,1,-1,,,1,1,0,,1,1,1,1,1,,,-1,,1,,1,0,-1,-1,-1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,0,7,0,0,,0,,,,,,,,0,0,,,0,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,0,9,1,1,,0,,,-1,0,,,0,0,,,,,,,,1,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
