participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
96,0,0,11,5,3,1,-1,1,,0,-1,-1,0,,,,,,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,0,11,9,1,1,1,1,,1,1,-1,1,,,,,,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,0,11,4,1,1,1,1,,1,0,-1,0,,,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,0,9,0,0,0,0,0,,,0,0,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,0,49,43,4,-1,1,1,,1,1,1,0,,,,,,1,1,1,1,1,1,1,1,1,,-1,1,1,1,1,,1,1,1,1,,1,1,1,,1,,-1,1,,1,1,1,1,1,1,1,,,1,1,,1,1,-1,,0,1,1,,,,1,,,1,,,,,,1,,,,,,
102,,0,2,2,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,0,11,8,0,1,1,1,,1,1,1,0,,,,,,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2,0,17,9,2,0,1,1,,1,0,-1,-1,,,,,,0,0,1,1,1,1,0,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2,0,16,9,3,1,1,1,,-1,0,0,-1,,,,,,1,,1,1,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,
108,2,0,11,7,1,-1,1,1,,1,0,1,0,,,,,,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
