participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
441,2,1,26,18,5,1,1,1,,1,-1,1,-1,,,,,,1,-1,1,1,1,1,1,1,1,,-1,0,0,1,1,,1,0,-1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,2,0,25,16,4,1,1,1,,1,0,-1,-1,,,,,,1,-1,1,1,1,1,0,1,0,,0,1,1,1,-1,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,1,0,25,14,5,-1,-1,1,,1,-1,0,-1,,,,,,0,0,1,0,0,1,1,1,1,,0,1,1,1,1,,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2,0,25,18,4,1,1,1,,1,-1,0,-1,,,,,,1,-1,1,1,1,1,1,1,1,,-1,1,1,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2,0,25,12,1,1,1,1,,1,1,0,0,,,,,,0,-1,1,0,0,0,0,1,1,,1,1,0,1,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2,0,25,17,7,1,1,1,,1,-1,-1,-1,,,,,,1,-1,1,1,1,-1,1,1,1,,-1,1,1,1,1,,1,0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2,0,25,19,5,1,1,1,,1,1,-1,-1,,,,,,1,-1,1,-1,1,0,1,1,1,,-1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1,0,23,11,0,0,0,1,,0,0,0,0,,,,,,0,0,1,1,1,0,0,1,1,,1,,0,1,1,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,0,0,8,6,1,1,,,,,,-1,,,,,,,,1,,1,,,,,,,,,,,1,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,0,3,3,0,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,,0,4,3,0,0,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,0,0,10,5,0,1,,1,,0,0,,0,,,,,,,,,,,,,1,1,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,2,0,12,7,0,1,,,,1,0,,,,,,,,0,0,1,0,1,,1,,,,,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,1,0,30,18,1,0,,1,,1,,1,0,,,,,,0,0,1,1,1,1,,0,1,,1,-1,,1,1,,1,1,0,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,,,,,,,0,,1,1,,0,,0,,0,,,,,
464,,0,6,4,1,-1,1,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,2,0,23,11,0,1,1,1,,1,1,0,0,,,,,,0,0,1,0,1,0,1,1,1,,0,0,0,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,1,26,15,5,1,0,1,,1,-1,0,-1,,,,,,1,-1,1,0,0,1,1,0,1,,-1,0,1,1,1,,1,1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,,0,3,2,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,0,0,25,8,6,0,1,0,,0,0,0,0,,,,,,0,1,-1,1,0,0,-1,1,0,,-1,1,1,-1,-1,,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,2,0,8,5,2,1,,,,1,,1,1,,,,,,,,,,,,,,,,-1,-1,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,2,0,24,13,5,0,1,1,,0,-1,1,-1,,,,,,1,0,1,1,1,1,1,-1,0,,-1,-1,0,1,,,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,0,6,4,1,1,,1,,,,-1,,,,,,,,,,,,,,,1,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,2,0,12,8,2,1,,,,1,,0,,,,,,,1,-1,,,,1,-1,1,,,0,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,0,0,33,9,9,1,,0,,0,0,,,,,,,,0,-1,1,0,-1,-1,1,0,0,,,,0,1,1,,1,-1,0,,,0,-1,,,0,,-1,1,,,1,,-1,-1,,0,,,-1,,,,,,,0,1,0,,,,,0,,,,,,,,,,,,,,
482,0,0,21,11,7,1,,1,,,1,1,0,,,,,,1,-1,1,-1,0,-1,-1,-1,-1,,1,,,1,1,,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,0,0,7,4,1,1,1,,,,,0,,,,,,,,,,,-1,0,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,0,0,12,5,4,1,,,,,-1,-1,-1,,,,,,1,1,,-1,1,,,,1,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,0,4,4,0,1,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,1,0,40,23,5,-1,1,1,,0,0,1,-1,,,,,,0,0,1,0,1,1,0,1,1,,-1,1,1,0,1,,1,-1,-1,1,,1,1,1,,1,,0,0,,1,1,1,1,0,1,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,0,3,1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,2,0,22,11,1,1,1,1,,0,0,0,0,,,,,,1,0,0,1,,0,1,1,-1,,0,,0,1,1,,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,0,0,23,11,2,0,,1,,,0,-1,0,,,,,,1,0,1,1,0,,1,1,0,,0,-1,1,1,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
495,0,0,25,4,1,-1,1,0,,0,1,0,0,,,,,,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0,0,25,10,6,0,1,1,,-1,-1,0,0,,,,,,1,-1,1,-1,0,1,0,0,1,,-1,1,0,-1,1,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,2,0,25,15,8,-1,1,1,,1,1,1,-1,,,,,,1,-1,-1,1,1,0,1,1,-1,,-1,1,1,-1,1,,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,0,3,1,0,0,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,0,0,11,2,5,0,,1,,,-1,-1,-1,,,,,,0,,,,-1,-1,1,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,2,0,14,14,0,1,1,1,,1,1,1,,,,,,,,1,1,1,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,2,0,18,12,3,1,1,,,1,,1,,,,,,,1,-1,1,1,1,0,1,,,,-1,0,,1,,,1,0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,2,0,26,23,3,1,1,1,,1,1,1,-1,,,,,,,-1,1,1,1,,1,1,1,,-1,,1,1,1,,1,1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,,0,6,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,0,0,27,6,18,-1,-1,1,,-1,1,-1,,,,,,,-1,0,1,-1,1,-1,1,-1,-1,,,-1,0,-1,1,,-1,0,-1,-1,,-1,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,0,0,10,5,0,0,,,,,,,,,,,,,,0,,,0,1,,1,,,,,,,,,,,0,1,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,2,0,10,9,1,1,,1,,,1,,,,,,,,,,1,1,1,,,,,,,1,1,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,2,0,21,14,0,0,1,1,,1,0,1,,,,,,,1,,,0,1,0,1,,1,,,1,,,1,,,0,1,1,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,0,6,3,0,0,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,2,0,8,5,0,0,,1,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,2,0,27,19,4,1,1,1,,1,1,1,,,,,,,1,-1,1,1,0,0,1,-1,1,,,1,1,1,1,,1,0,0,1,,1,1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,1,0,41,26,1,1,1,1,,1,0,0,,,,,,,0,-1,1,1,0,1,0,0,1,,,1,0,1,1,,1,1,0,1,,1,1,0,,0,,0,1,,1,1,1,1,0,1,0,,,0,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
556,1,0,18,10,0,0,,0,,0,0,0,,,,,,,0,,1,,0,,,1,1,,,1,1,1,1,,0,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,0,0,11,5,0,0,0,,,0,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,0,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,0,0,27,2,4,0,0,0,,0,0,0,,,,,,,-1,0,0,0,-1,0,0,0,0,,,0,1,0,0,,-1,0,0,0,,1,0,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,0,0,27,0,0,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,2,0,27,23,3,1,1,1,,1,-1,1,,,,,,,0,-1,1,1,1,1,1,1,1,,,1,1,1,1,,1,-1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,0,0,27,0,0,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,0,0,22,9,7,-1,1,1,,1,0,-1,,,,,,,,-1,1,-1,1,-1,,,1,,,-1,,,1,,0,0,0,0,,1,1,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,0,0,7,2,3,-1,-1,,,,,,,,,,,,,,,,,-1,,,1,,,,,1,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,,0,6,2,0,0,0,,,1,,,,,,,,,,,,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,2,0,27,25,1,1,1,1,,1,1,1,,,,,,,0,-1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,2,0,25,17,2,1,1,0,,1,1,1,,,,,,,0,1,1,0,1,,1,1,1,,,-1,1,-1,1,,1,0,1,,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,2,0,27,23,4,1,1,1,,1,-1,1,,,,,,,-1,-1,1,1,1,1,1,1,1,,,1,1,1,1,,1,-1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,1,0,14,8,0,0,1,,,1,,,,,,,,,0,1,,,,0,1,,1,,,0,,1,1,,,,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,2,0,7,5,0,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,2,0,15,11,0,1,1,1,,1,,,,,,,,,0,0,,1,,1,,,1,,,,,,1,,0,,0,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,2,0,27,20,1,1,1,1,,1,-1,1,,,,,,,1,0,1,1,1,1,1,0,1,,,1,1,1,1,,0,0,0,1,,1,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,2,0,26,15,4,0,1,1,,0,1,1,,,,,,,1,-1,1,0,1,-1,1,1,1,,,1,,0,1,,-1,0,-1,1,,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,2,0,27,16,6,0,1,1,,1,1,0,,,,,,,1,0,1,1,-1,0,-1,1,1,,,-1,1,1,1,,1,-1,-1,1,,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,2,0,10,8,0,0,1,,,,,,,,,,,,1,0,,,,,,1,1,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,0,0,17,8,2,-1,,1,,1,1,,,,,,,,0,,1,0,1,0,0,,,,,,0,1,1,,,1,-1,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,1,1,28,22,4,-1,1,1,,1,-1,1,,,,,,,1,-1,1,1,1,1,-1,1,1,,,1,0,1,1,,0,1,1,1,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,0,0,22,8,11,1,1,1,,-1,-1,,,,,,,,0,-1,0,1,1,-1,0,,-1,,,-1,1,-1,,,-1,,-1,1,,1,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,1,0,19,13,1,0,,1,,,0,1,,,,,,,0,-1,,,1,0,1,1,,,,1,1,1,,,1,1,,0,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,0,0,26,12,12,-1,-1,1,,1,-1,-1,,,,,,,1,-1,1,0,1,-1,1,-1,,,,-1,1,-1,1,,0,-1,-1,1,,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,0,0,17,4,5,-1,0,0,,1,,-1,,,,,,,1,,,0,,-1,,,,,,0,0,,1,,1,,-1,0,,,-1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,0,3,3,0,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,0,6,2,0,0,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,2,0,23,15,1,0,1,1,,,,1,,,,,,,1,,1,1,1,1,,1,,,,0,,,,,0,,0,,,1,,,,,,0,,,-1,,1,,1,1,,,,,,,,0,1,,0,,1,,,,,,,,,,,,,,,,,,,
618,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,0,0,11,7,1,1,,1,,,1,-1,,,,,,,,,,,0,1,,,,,,,1,0,,,,,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,0,0,27,9,11,-1,-1,1,,0,1,-1,,,,,,,1,0,1,0,1,-1,-1,1,-1,,,-1,0,0,1,,0,-1,0,-1,,-1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,1,1,26,20,6,-1,1,1,,,1,1,,,,,,,1,-1,1,-1,1,,,1,1,,,,1,1,-1,,1,-1,1,1,,1,,1,,1,,-1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1,0,30,16,5,-1,1,1,,0,1,-1,,,,,,,1,-1,1,0,0,1,1,0,0,,,1,1,1,1,,1,0,-1,1,,1,0,-1,,1,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,1,0,24,16,4,1,-1,,,1,1,1,,,,,,,0,0,1,,1,0,1,0,1,,,1,1,1,1,,1,-1,,1,,,1,,,-1,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,1,0,30,18,4,-1,1,1,,1,1,0,,,,,,,0,-1,1,1,1,1,1,0,1,,,0,1,1,1,,0,0,-1,1,,1,1,-1,,1,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,2,0,28,22,1,1,1,1,,1,,1,,,,,,,1,-1,1,1,1,1,0,0,1,,,1,1,1,1,,1,1,1,1,,1,,0,,0,,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,1,0,30,22,3,1,1,1,,1,-1,0,,,,,,,0,1,1,-1,1,1,1,1,1,,,0,1,1,1,,1,1,1,-1,,1,1,1,,1,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,1,0,30,18,4,0,1,1,,0,1,1,,,,,,,0,-1,1,0,-1,1,1,1,1,,,1,-1,1,1,,0,0,0,1,,1,1,0,,1,,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,1,0,58,33,10,-1,-1,1,,0,-1,1,,,,,,,1,-1,1,1,0,-1,0,-1,1,,,-1,0,0,1,,1,-1,0,1,,1,1,1,,1,,0,1,,0,1,1,1,1,1,-1,,,1,1,,1,1,1,,0,1,1,,,1,0,0,,0,1,0,0,1,1,1,1,-1,1,0,,
646,1,0,22,10,2,0,0,1,,,-1,0,,,,,,,0,-1,1,,,1,,,1,,,0,,1,1,,0,,0,1,,0,,1,,0,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,1,0,17,10,2,0,,1,,,0,1,,,,,,,,-1,,1,,,,1,1,,,0,,1,1,,1,,0,,,,,0,,1,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,2,0,24,13,3,0,,1,,1,1,,,,,,,,0,0,1,1,,,1,1,1,,,0,,1,1,,1,-1,0,0,,0,1,,,0,,-1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,0,5,2,1,-1,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,0,0,30,1,4,0,,0,,0,-1,0,,,,,,,0,-1,0,0,0,0,0,0,0,,,0,0,0,1,,0,0,0,0,,0,0,0,,0,,-1,-1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,2,0,28,11,2,1,,1,,1,1,1,,,,,,,0,0,1,0,0,0,0,0,1,,,1,0,0,1,,0,0,,0,,1,,1,,0,,-1,0,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,2,0,21,15,4,1,,1,,1,-1,1,,,,,,,1,0,1,1,1,1,1,,,,,1,,,1,,1,,1,,,,0,1,,,,-1,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,1,0,18,12,2,1,,1,,1,,,,,,,,,0,,1,,,1,0,1,,,,,1,,1,,0,1,-1,,,,,,,1,,-1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,1,0,40,22,8,-1,,1,,1,-1,0,,,,,,,0,-1,1,0,1,1,0,0,0,,,1,1,1,1,,1,-1,1,1,,1,-1,0,,-1,,-1,-1,,0,1,1,1,,1,0,,,1,,,1,1,,,0,1,1,,,,,,,,,,,,,,,,,,,
680,0,0,8,4,4,-1,,1,,,-1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,-1,,,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,1,1,47,26,12,-1,,1,,1,-1,-1,,,,,,,1,-1,1,-1,1,0,1,0,1,,,-1,-1,1,1,,1,0,-1,1,,1,1,1,,-1,,-1,1,,-1,-1,1,1,1,1,0,,,1,1,,1,0,1,,0,1,0,,,1,0,0,,1,,,,,,,,,,,,
682,,0,5,2,3,-1,,,,,,,,,,,,,,,,,,1,-1,,,,,1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,0,0,23,3,0,0,,0,,,0,0,,,,,,,1,0,0,,0,0,,0,1,,,,,0,,,0,0,0,0,,0,,0,,0,,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,1,0,36,31,3,1,,1,,1,0,-1,,,,,,,1,-1,1,1,1,1,1,1,1,,,0,1,1,1,,1,1,1,1,,1,1,1,,1,,-1,1,,1,1,,1,,1,,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,
695,2,0,30,22,2,0,,1,,1,1,1,,,,,,,0,-1,1,1,1,1,1,1,1,,,1,0,1,1,,1,1,1,1,,1,0,0,,1,,-1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,1,0,12,9,0,1,,,,,,0,,,,,,,1,,,,,1,,,,,,,,1,,,0,1,0,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,0,0,7,4,3,1,,,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,1,1,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,,0,4,2,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,0,0,7,3,3,-1,,,,-1,-1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,0,0,25,2,0,0,,0,,0,0,0,,,,,,,0,0,,,0,,0,0,0,,,0,0,0,,,0,0,0,0,,0,0,1,,0,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,1,0,19,11,1,0,,1,,1,0,1,,,,,,,0,,1,0,,,0,,1,,,,,,1,,1,1,0,,,1,,,,,,-1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,1,0,27,20,1,1,,1,,1,-1,1,,,,,,,1,1,1,0,1,1,1,1,1,,,1,,,1,,1,0,1,1,,1,0,0,,1,,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,2,0,18,15,2,1,,1,,,,1,,,,,,,1,,1,,1,,,,,,,,-1,1,,,1,1,-1,1,,,0,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,0,0,8,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,0,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1,0,30,15,4,1,,1,,1,-1,0,,,,,,,1,1,1,1,0,0,1,1,1,,,0,0,-1,1,,1,1,0,0,,0,1,0,,0,,-1,-1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,0,0,30,7,2,0,,1,,0,1,0,,,,,,,0,0,1,1,0,1,0,0,-1,,,0,0,1,1,,0,0,0,0,,0,0,0,,0,,-1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,1,0,30,18,2,0,,1,,1,1,1,,,,,,,0,0,1,0,1,1,1,1,1,,,1,0,1,1,,1,-1,0,1,,0,0,0,,0,,-1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,,0,3,2,0,1,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
