participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
42,,0,16,14,0,0,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,,1,,,,
45,,0,17,5,0,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,,,,
46,,0,18,11,3,0,0,1,1,1,1,-1,-1,0,0,1,1,-1,1,1,1,1,1,,,,
47,,0,18,13,3,-1,1,1,1,1,1,1,1,-1,0,-1,1,1,1,0,1,1,1,,,,
53,,0,6,5,1,1,,,,,1,,,-1,,1,,1,1,,,,,,,,
58,,1,19,19,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
61,,0,13,6,1,0,0,,-1,1,0,0,,,1,1,,1,,0,,,1,0,1,,
63,,1,21,16,3,0,0,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,
64,,0,20,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
65,,0,20,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,,
67,,0,9,8,1,-1,,,1,1,,1,1,,,,,,1,1,1,1,,,,,
68,,0,19,12,2,-1,1,0,1,1,1,1,0,0,1,1,1,,-1,1,1,1,0,,0,1,
69,,0,21,18,1,1,1,0,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,
72,,0,15,11,0,0,,1,1,1,1,,,,0,,0,,1,1,1,1,1,1,,1,0
30,,0,3,3,0,,1,,,,,,,,,,1,,,,1,,,,,,
48,,0,6,6,0,,1,1,1,,,,,,1,,,,,1,,,1,,,,
49,,0,15,3,3,,0,1,0,-1,,0,1,,0,-1,0,0,0,0,0,1,-1,,,,
50,,0,11,8,0,,1,,0,1,,1,1,,1,,1,1,,0,1,,0,,,,
54,,0,15,13,1,,1,1,1,1,-1,1,1,1,1,,,1,0,1,1,1,1,,,,
56,,0,3,1,0,,0,0,,,,,,,,,1,,,,,,,,,,
29,,0,5,5,0,,,1,1,,,,,,1,1,,,,,1,,,,,,
52,,0,12,10,2,,,-1,1,1,,1,1,-1,,1,,1,1,1,1,,1,,,,
60,,0,1,1,0,,,1,,,,,,,,,,,,,,,,,,,
8,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,
9,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,
43,,0,2,2,0,,,,,,1,,,,,,,,1,,,,,,,,
73,,0,2,2,0,,,,,,,1,,,,,,1,,,,,,,,,
44,,0,2,2,0,,,,,,,,1,,1,,,,,,,,,,,,
55,,0,3,0,0,,,,,,,,0,,,,0,,,,,,0,,,,
62,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,
71,,0,2,2,0,,,,,,,,1,1,,,,,,,,,,,,,
17,,0,1,0,0,,,,,,,,,,0,,,,,,,,,,,,
57,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,,
39,,0,1,0,0,,,,,,,,,,,,0,,,,,,,,,,
51,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,
36,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,,
31,,0,1,1,0,,,,,,,,,,,,,,,1,,,,,,,
66,,0,2,2,0,,,,,,,,,,,,,,,1,,,,,1,,
40,,0,1,1,0,,,,,,,,,,,,,,,,1,,,,,,
70,,1,2,2,0,,,,,,,,,,,,,,,,,1,,,,,1
59,,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,,
