participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
75,,0,3,2,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
79,,0,12,8,0,,0,1,1,,1,,,0,,,,1,,,,,,,,1,,1,0,,,,,,0,,,,,,,,,1,,,,,1,
86,,0,7,2,1,,-1,,,,0,1,,,,,,,,0,,0,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
89,,0,28,23,1,,0,1,,,0,1,,1,1,1,-1,,1,1,1,1,,0,1,1,1,1,1,1,,1,,,,1,0,1,1,,,,1,,1,1,,,,1
29,,0,2,2,0,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,0,21,19,0,,,1,,,,,1,,,,,1,0,1,1,1,1,,,1,,,0,1,1,,,,1,,1,,1,1,,,1,1,1,1,,1,,
83,,0,16,11,5,,,1,-1,,,,,,,,,,1,,,1,,,,1,-1,,-1,,,,,,1,1,,1,,,,-1,-1,1,,1,,,1,1
32,,0,3,3,0,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0,1,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,0,13,6,5,,,,0,-1,1,,,,,,,,-1,,,-1,,,,,,,,1,-1,,1,,1,-1,,,,,,1,,1,,,,0,,
41,,0,2,1,1,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,0,4,1,3,,,,,,-1,,,,,-1,,,,,,,1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
24,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,0,9,6,0,,,,,,,1,0,,,,1,,,,,,,0,,,,,,,1,1,,0,,,,,,,,1,,,1,,,,,
90,,0,10,6,2,,,,,,,1,,,,,,,,-1,1,,1,,,,,1,0,,,,,0,,,,,,-1,,,1,,1,,,,,
46,,0,2,1,0,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,0,6,5,0,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,0,,,,,,1,,,1,,,,,,,,,
35,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,0,2,2,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
48,,0,1,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,0,1,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,1,3,2,1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
74,,0,3,2,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,-1,,,,,,,,,
67,,0,4,3,0,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,0,,,,
77,,0,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,0,3,3,0,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
65,,0,1,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
62,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
63,,1,3,3,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,
70,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
94,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
71,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
