participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,0,0,13,7,1,,0,1,1,1,,-1,0,1,,,1,0,,1,1,,,,,,,,,,0,,,0,,
19,2,0,12,7,0,,0,,,1,,0,,0,1,0,1,,1,1,,,0,,,1,1,,,,,,,,,
51,2,0,20,16,3,,1,1,,1,,1,0,,1,-1,,1,,1,-1,1,1,1,1,1,1,1,1,-1,1,,,,,
63,,0,5,4,0,,1,,,,,1,,,,1,,,,,,,0,,,,,1,,,,,,,,
66,1,0,22,14,1,,1,,0,0,1,,0,,1,1,-1,0,1,0,1,,1,1,1,1,1,1,1,0,1,,0,,,
68,,0,11,8,3,,1,,-1,-1,,,1,,1,1,-1,,,,1,,1,1,1,,,,,,,,,,,
80,,0,8,8,0,,1,1,,,1,,1,,,,,,1,,,,,,,1,1,,,,,,,1,,
82,,0,4,3,0,,1,,,,,0,,,,,,,,,,,,,1,,,,,,,1,,,,
85,,0,2,2,0,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
87,,0,23,17,2,,-1,1,0,1,1,1,,1,1,1,1,0,,,1,,,1,1,0,1,0,-1,,1,1,1,1,1,
90,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,0,20,13,0,,1,,0,,1,0,1,1,0,,0,,,0,1,,,,1,1,1,1,1,0,,,1,1,0,1
94,,0,4,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,
4,,0,2,1,0,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
18,2,0,14,9,1,,,1,,1,1,,1,-1,1,,1,,0,0,,,1,,1,,,1,0,0,,,,,,
35,0,0,10,5,4,,,1,,,1,1,,,,,,-1,-1,-1,1,,,,,,,-1,0,,1,,,,,
50,,0,5,3,1,,,1,,0,,1,,,,,,,,,,,,,,1,,,,-1,,,,,,
62,2,0,9,9,0,,,1,1,1,1,,,,1,1,1,1,,,,,,,,1,,,,,,,,,,
75,,0,18,11,3,,,1,-1,0,-1,-1,,,1,1,0,1,,,,,,0,1,1,1,,1,0,1,1,,1,,
86,,0,16,14,2,,,1,,1,1,,,1,,,-1,,1,1,,1,1,,,-1,1,,1,1,1,1,1,,,
14,,0,3,1,2,,,,-1,,,,,,,,,-1,,,,,,,,,,,1,,,,,,,
25,,0,1,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,7,4,1,,,,1,1,,-1,0,,,,,,,1,,,,,,,0,,1,,,,,,,
76,,0,8,5,0,,,,0,,,0,0,,1,,,,1,1,1,,,,1,,,,,,,,,,,
61,,0,3,1,0,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,
73,,0,9,5,3,,,,,0,-1,,,,,,,,,,1,,-1,1,,,1,,1,,,,-1,1,,
33,,0,1,0,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
70,,0,8,7,0,,,,,,,1,,,,,1,,,,,1,,,,0,,,,1,,1,1,1,,
47,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
69,,1,3,3,0,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,
71,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
83,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
23,,0,4,3,0,,,,,,,,,,,0,,,,,,1,,,,1,,1,,,,,,,,
